OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,YrSold,ExterQual_TA,ExterQual_TA,ExterQual_TA,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,Neighborhood_NoRidge,GarageType_Attchd,BsmtExposure_Gd,KitchenQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Gd,ExterQual_Fa,ExterQual_Fa,ExterQual_Fa,ExterQual_Fa,BldgType_1Fam,Neighborhood_NridgHt,BsmtQual_Gd,ExterQual_Ex,ExterQual_Ex,ExterQual_Ex,ExterQual_Ex,BsmtExposure_No
7,2006,2007,0,1494,1494,0,1494,0,2,0,3,7,3,840,2007,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
6,1960,1960,733,1253,1253,0,1253,1,1,1,2,5,1,352,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1929,2001,0,832,854,0,854,0,1,0,2,5,2,576,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1970,1970,578,1004,1004,0,1004,1,1,0,2,5,2,480,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,1967,1967,0,0,1296,0,1296,0,2,0,2,6,2,516,2006,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,2004,2004,646,1114,1114,0,1114,1,1,1,3,6,2,576,2008,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1958,1965,504,1029,1339,0,1339,0,1,0,3,6,1,294,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2005,2006,0,1158,1158,1218,2376,0,3,1,4,9,3,853,2006,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
7,1930,1950,0,637,1108,0,1108,0,1,0,3,6,1,280,2007,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2002,2002,0,1777,1795,0,1795,0,2,0,3,7,2,534,2008,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
5,1976,1976,840,1040,1060,0,1060,1,1,0,3,6,2,572,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
5,1968,2001,188,1060,1060,0,1060,1,1,0,3,6,1,270,2010,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,2007,2007,0,1566,1600,0,1600,0,2,0,3,7,3,890,2009,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True
5,1951,2000,234,900,900,0,900,0,1,0,3,5,2,576,2010,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,2007,2008,1218,1704,1704,0,1704,1,2,0,3,7,3,772,2010,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True
5,1957,1997,1277,1484,1600,0,1600,1,1,0,2,6,1,319,2006,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1927,1950,0,520,520,0,520,0,1,0,1,4,1,240,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,1920,1950,0,649,649,668,1317,0,1,0,3,6,1,250,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1966,2006,0,1228,1228,0,1228,0,1,1,3,6,1,271,2008,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2007,2007,0,1234,1234,0,1234,0,2,0,3,7,2,484,2008,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False
5,1959,1959,1018,1398,1700,0,1700,0,1,1,4,6,2,447,2010,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9,2005,2005,1153,1561,1561,0,1561,1,2,0,2,6,2,556,2007,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True
8,2004,2005,0,1117,1132,1320,2452,0,3,1,4,9,3,691,2006,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
5,1994,1995,0,1097,1097,0,1097,0,1,1,3,6,2,672,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,1954,1990,1213,1297,1297,0,1297,0,1,0,3,5,2,498,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1953,2007,731,1057,1057,0,1057,1,1,0,3,5,1,246,2010,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,1955,1955,0,0,1152,0,1152,0,2,0,2,6,0,0,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,1965,1965,643,1088,1324,0,1324,0,2,0,3,6,2,440,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1959,1959,967,1350,1328,0,1328,0,1,1,2,5,1,308,2007,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,1983,1983,747,840,884,0,884,1,1,0,2,5,2,504,2007,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5,1975,1980,280,938,938,0,938,1,1,0,3,5,1,308,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5,1959,1959,179,1150,1150,0,1150,1,1,0,3,6,1,300,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9,2005,2005,456,1752,1752,0,1752,1,2,0,2,6,2,576,2010,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True
7,2003,2003,1351,1434,1518,631,2149,1,1,1,1,6,2,670,2009,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
8,2006,2006,24,1656,1656,0,1656,0,2,0,3,7,3,826,2007,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
4,1920,2008,0,736,736,716,1452,0,2,0,2,8,0,0,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,1966,1966,763,955,955,0,955,1,1,0,3,6,1,386,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1997,1997,182,794,794,676,1470,0,2,0,3,6,2,388,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
6,1934,1950,0,816,816,0,1176,0,1,0,3,6,2,528,2006,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1963,1963,104,816,816,0,816,1,1,0,2,5,2,516,2010,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False
9,1981,1987,1810,1842,1842,0,1842,2,0,1,0,5,3,894,2006,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False
5,1955,1955,384,384,1360,0,1360,0,1,0,3,6,2,572,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1964,1964,490,1425,1425,0,1425,0,2,0,3,7,2,576,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,1999,2000,649,970,983,756,1739,1,2,1,3,7,2,480,2009,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True
7,2004,2004,0,860,860,860,1720,0,2,1,3,7,2,565,2006,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
10,2006,2006,0,1410,1426,1519,2945,0,3,1,3,10,3,641,2006,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False
5,1972,1972,632,780,780,0,780,0,1,0,2,4,1,352,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,2004,2004,941,1158,1158,0,1158,1,1,1,3,5,2,576,2006,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,1920,1996,0,530,581,530,1111,0,1,0,3,6,1,288,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2006,2006,24,1370,1370,0,1370,0,2,0,2,6,2,484,2007,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False
7,1921,1950,0,576,902,808,1710,0,2,0,3,9,2,480,2010,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1997,1998,739,1057,1057,977,2034,1,2,1,3,8,2,645,2009,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
8,2004,2005,0,1143,1143,1330,2473,0,2,1,4,9,3,852,2007,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
7,1970,1989,912,1947,2207,0,2207,1,2,0,3,7,2,576,2010,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
7,2003,2003,1013,1453,1479,0,1479,1,2,0,3,7,2,558,2007,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
4,1945,1950,0,747,747,0,747,0,1,0,2,4,1,220,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1953,1953,603,1304,1304,983,2287,0,2,0,3,7,2,667,2006,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
7,1973,1973,1880,2223,2223,0,2223,1,2,0,3,8,2,516,2007,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4,1982,2006,565,845,845,0,845,1,1,0,2,4,2,360,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1998,1998,0,832,885,833,1718,0,2,1,3,7,2,427,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,1954,2003,320,1086,1086,0,1086,1,1,0,3,6,2,490,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3,1915,1950,0,840,840,765,1605,0,2,0,3,8,1,379,2010,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
4,1973,1973,462,462,526,462,988,1,1,0,2,5,1,297,2009,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,1956,1956,228,952,952,0,952,0,1,0,2,4,1,283,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1948,2001,336,672,1072,213,1285,1,1,0,2,6,1,240,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,1968,1968,0,1768,1768,0,1768,0,2,0,4,8,0,0,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,1910,1981,0,440,682,548,1230,0,1,1,2,5,2,440,2009,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1968,1968,448,896,1182,960,2142,0,2,1,4,8,1,509,2009,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
6,1998,1998,1201,1237,1337,0,1337,1,2,0,2,5,2,405,2006,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,2007,2007,33,1563,1563,0,1563,0,2,0,3,6,3,758,2008,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,1960,1960,0,1065,1065,0,1065,0,1,1,3,6,2,461,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1995,1996,0,384,804,670,1474,0,2,1,3,7,2,400,2009,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
8,1991,1992,0,1288,1301,1116,2417,0,2,1,4,9,2,462,2006,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
6,2005,2005,0,684,684,876,1560,0,2,1,3,6,2,400,2009,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
6,2009,2009,0,612,612,612,1224,0,2,1,2,4,2,528,2009,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
3,1915,1982,0,1013,1013,0,1526,0,1,0,2,6,0,0,2009,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True
4,1994,1995,588,990,990,0,990,1,1,0,3,5,0,0,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
4,1950,1950,0,0,1040,0,1040,0,1,0,2,4,2,420,2006,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1961,1961,600,1235,1235,0,1235,0,1,0,2,6,2,480,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1921,2006,713,876,964,0,964,1,1,0,2,5,2,432,2009,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
6,1910,1998,1046,1214,1260,1031,2291,0,2,0,4,9,2,506,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1997,1997,648,824,905,881,1786,1,2,1,3,7,2,684,2007,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
6,1993,1993,310,680,680,790,1470,0,2,1,3,6,2,420,2009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
7,1999,1999,1162,1588,1588,0,1588,0,2,0,3,6,2,472,2006,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
4,1965,1965,520,960,960,0,960,1,1,0,3,6,1,432,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1920,1950,108,458,835,0,835,0,1,0,2,5,1,366,2010,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,1959,1959,569,950,1225,0,1225,1,1,1,3,6,0,0,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1977,2001,1200,1610,1610,0,1610,1,2,0,3,6,2,480,2010,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,1985,1985,0,741,977,755,1732,0,2,1,3,7,2,476,2010,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
5,1979,1979,0,0,1535,0,1535,0,2,0,4,8,2,410,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,2009,2009,0,1226,1226,0,1226,0,2,0,3,6,3,740,2010,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
7,1931,1950,224,1040,1226,592,1818,0,1,1,4,7,1,240,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2003,2004,0,1053,1053,939,1992,0,2,1,3,9,2,648,2008,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
4,1885,1995,0,641,1047,0,1047,0,1,0,2,6,1,273,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1948,1950,104,789,789,0,789,0,1,0,2,5,1,250,2008,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1919,2005,0,793,997,520,1517,0,2,0,3,7,0,0,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1977,1977,705,1844,1844,0,1844,0,2,0,3,7,2,546,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
6,1954,1972,444,994,1216,639,1855,0,2,0,4,7,1,325,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,2000,2000,250,384,774,656,1430,0,2,1,3,7,2,400,2010,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
7,2007,2007,984,1264,1282,1414,2696,1,2,1,4,10,3,792,2007,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False
6,1953,1953,35,1809,2259,0,2259,1,2,0,3,7,2,450,2007,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
6,1945,2002,774,1028,1436,884,2320,1,2,1,3,9,1,180,2007,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1999,1999,419,729,729,729,1458,0,2,1,2,5,2,440,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
5,1962,1962,170,1092,1092,0,1092,0,1,0,3,6,1,288,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,2006,2007,0,1125,1125,0,1125,0,1,1,2,5,2,430,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
7,1990,1990,1470,1673,1699,1523,3222,1,3,0,5,11,3,594,2010,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
6,2005,2006,0,728,728,728,1456,0,2,1,3,8,2,390,2006,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
6,1969,1969,938,938,988,0,988,1,1,0,1,4,2,540,2006,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1939,1950,0,732,772,351,1123,0,1,0,3,4,1,264,2007,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1958,1958,570,1080,1080,0,1080,0,1,0,3,5,1,288,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1993,1993,300,1199,1199,0,1199,0,2,0,2,5,2,530,2008,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True
6,1979,1998,0,1362,1586,0,1586,0,2,0,3,7,2,435,2009,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
6,1935,1982,490,520,520,0,754,1,1,0,2,5,0,0,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1976,1976,120,1078,958,0,958,0,2,0,2,5,2,440,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
5,1930,1950,116,672,840,0,840,0,1,0,3,5,0,0,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1966,1966,512,660,660,688,1348,0,1,1,3,6,2,453,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1958,1991,567,1008,1053,0,1053,0,1,1,3,6,2,750,2006,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1966,1966,445,924,1216,941,2157,0,2,1,4,8,2,487,2006,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
6,2000,2000,695,992,1022,1032,2054,1,2,1,3,7,2,390,2009,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
5,1959,2002,405,1063,1327,0,1327,1,1,0,3,7,2,624,2007,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,2001,2002,1005,1267,1296,0,1296,1,2,0,2,6,2,471,2009,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True
5,1968,1993,570,1461,1721,0,1721,0,2,1,3,7,2,440,2006,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1970,1970,0,1304,1682,0,1682,0,2,0,3,7,2,530,2008,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,1967,1967,695,1214,1214,0,1214,0,2,0,3,5,1,318,2007,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1988,1989,0,1907,1959,0,1959,0,3,0,5,9,3,766,2006,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,1999,2000,668,1004,1004,848,1852,0,2,1,3,7,3,660,2008,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
6,1997,1997,821,928,928,836,1764,1,2,1,3,7,2,470,2009,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
4,1971,1971,432,864,864,0,864,0,1,0,3,5,0,0,2010,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,2005,2005,1300,1734,1734,0,1734,1,2,0,3,7,2,660,2006,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
5,1952,1952,507,910,910,475,1385,0,2,0,4,6,2,720,2010,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,1999,1999,679,1490,1501,0,1501,1,2,0,3,6,2,577,2009,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
5,1963,1963,1332,1728,1728,0,1728,1,2,0,6,10,2,504,2006,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,2004,2006,0,970,970,739,1709,0,2,0,3,7,2,380,2006,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True
5,1931,1993,209,715,875,0,875,1,1,0,2,5,1,180,2009,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,2001,2001,0,884,884,1151,2035,0,2,1,3,8,2,434,2010,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True
